code,total_payer_coverage,totalclaimcost
180325003,7257655.64,36464315.38
274804006,6696952.33,18332574.02
225158009,6696952.33,18332574.02
710824005,6610597.84,16186376.74
171207006,5381488.29,12592966.61
454711000124102,5287465.24,12321433.45
26763009,5247736.45,6386035.73
302497006,5063790.97,6108610.77
762993000,4303657.73,9977476.56
428211000124100,3947193.96,10287952.90
430193006,3397388.94,8290823.05
104091002,3129500.18,8689419.02
710841007,2905361.65,7280447.40
252160004,2688512.96,7580950.41
169230002,2688512.96,7580950.41
90226004,2568822.45,6913754.09
5880005,2493014.32,6862018.71
73761001,2402360.39,5960622.44
395123002,2398991.27,6590485.55
310861008,2398991.27,6590485.55
269828009,2398991.27,6590485.55
169690007,2398991.27,6590485.55
167271000,2398991.27,6590485.55
165829005,2398991.27,6590485.55
117010004,2398991.27,6590485.55
104375008,2398991.27,6590485.55
104326007,2398991.27,6590485.55
47758006,2398991.27,6590485.55
44608003,2398991.27,6590485.55
31676001,2398991.27,6590485.55
28163009,2398991.27,6590485.55
703423002,2378601.05,6654952.71
866148006,2090981.09,5045081.21
713106006,2033896.08,5266965.72
385763009,1999240.68,10662911.12
763302001,1913297.88,5020987.18
431182000,1577248.91,3847399.53
371908008,1577248.91,3847399.53
312681000,1427183.14,2213650.99
40701008,1382477.62,2297789.83
399208008,1205726.63,1899648.21
18286008,932207.02,3716430.54
127783003,893844.49,2352610.31
433112001,865036.03,1412198.05
265764009,740990.84,3095082.41
112798008,736878.17,896994.13
399014008,730508.91,2098933.47
268556000,730508.91,2098933.47
274474001,715893.37,1028684.08
274031008,709001.90,1615098.81
104435004,624977.10,1343060.29
443529005,614861.35,1560603.21
15081005,613559.62,1822840.55
275833003,572125.09,1502117.05
271442007,572125.09,1502117.05
118001005,542282.58,1440069.68
288086009,456321.88,1025788.77
410006001,455683.11,704007.98
228557008,408162.11,1432167.00
76601001,365330.31,1423485.92
715252007,339259.18,756410.47
415070008,283527.81,532427.00
232717009,283527.81,532427.00
1225002,266202.52,360037.88
229064008,218017.52,510842.20
398171003,199683.01,2427547.09
16335031000119100,199683.01,2427547.09
66348005,193470.10,468399.80
19490002,179312.72,238811.67
29303009,172301.56,268843.46
35025007,169831.18,323268.54
60027007,169146.63,244147.61
65200003,162139.44,603357.43
51116004,156857.08,390173.67
169553002,155049.55,743466.27
269911007,149597.98,464411.05
305428000,148398.12,249087.16
46706006,133881.12,520229.47
169673001,123449.92,305482.46
168594001,118324.17,185731.61
392021009,114097.87,212809.91
384700001,104867.44,263220.04
699253003,98892.80,199568.11
447365002,97784.11,144664.94
714812005,93657.21,325053.03
10383002,93657.21,325053.03
117015009,93171.33,230583.37
68254000,89918.53,367507.42
396487001,88828.32,178236.74
443497002,88828.32,178236.74
762998009,86203.72,120088.99
85548006,83004.66,239501.34
301807007,73898.13,535688.56
423475008,63265.91,120013.67
76164006,61858.98,69869.85
33195004,59041.86,183741.29
43075005,58221.62,177219.54
236974004,49689.95,97780.28
58000006,49671.19,157663.65
65575008,41245.72,64026.22
90470006,36430.77,44740.22
287664005,34324.28,101718.65
18946005,31330.59,80802.13
268425006,30073.95,63355.55
23426006,29818.88,74950.86
31208007,28726.37,92092.43
418891003,28402.00,50733.69
386394001,27725.07,65176.88
65546002,26938.74,46394.94
22523008,26285.28,61244.47
71651007,24124.14,50975.37
698354004,24100.87,44876.04
426701000119108,22831.93,28740.80
52765003,22831.93,28740.80
45595009,22831.93,28740.80
11466000,20859.36,102482.79
415300000,20543.34,114794.66
162676008,20543.34,114794.66
173160006,18236.04,22915.05
76746007,17936.55,20537.33
237001001,17267.36,60728.60
417511005,12930.90,18941.34
367336001,9198.96,49203.46
14768001,9016.64,44234.50
167995008,6639.15,7048.58
182777000,5723.40,14991.55
241615005,5643.08,20861.26
122548005,5643.08,20861.26
434363004,5643.08,20861.26
433114000,5643.08,20861.26
24623002,5643.08,13196.29
74016001,4025.97,9918.66
408919008,4015.45,18719.71
261352009,3692.67,15417.90
236931002,2574.96,2770.48
180207008,2279.51,7103.84
305433001,430.06,2754.95
311791003,98.21,3316.62
180256009,0.00,646816.54
177157003,0.00,5525.41
430701006,0.00,2568815.77
449214001,0.00,1926933.07
241055006,0.00,7664.97
69031006,0.00,29228.72
65588006,0.00,17676.78
432231006,0.00,23226.52
1571000087109,0.00,0.00
91602002,0.00,19707.59
395142003,0.00,573.98
80146002,0.00,34357.46
112790001,0.00,6209.88
183450002,0.00,1036.94
305340004,0.00,1036.94
385892002,0.00,151.64
225337009,0.00,332.33
305351004,0.00,1925648.10
61594008,0.00,14662.82
