Year,reasondescription,Sum of base_cost
2011,Acute bronchitis (disorder),16864
2011,Acute viral pharyngitis (disorder),1668
2011,Atrial Fibrillation,709251
2011,Chronic congestive heart failure (disorder),9297
2011,Chronic obstructive bronchitis (disorder),82504
2011,Fracture of ankle,7750
2011,Fracture of clavicle,14765
2011,Fracture of forearm,8633
2011,Fracture of rib,11611
2011,Laceration of thigh,7442
2011,Malignant neoplasm of breast (disorder),47306
2011,Malignant tumor of colon,158682
2011,N/A,732153
2011,Non-small cell carcinoma of lung  TNM stage 1 (disorder),617760
2011,Normal pregnancy,112915
2011,Polyp of colon,12868
2011,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),173975
2011,Pulmonary emphysema (disorder),9567
2011,Recurrent rectal polyp,11963
2011,Suspected lung cancer (situation),9796
2012,Acute bronchitis (disorder),57508
2012,Acute viral pharyngitis (disorder),19545
2012,Atrial Fibrillation,3293022
2012,Bullet wound,431
2012,Chronic congestive heart failure (disorder),3465
2012,Chronic obstructive bronchitis (disorder),99680
2012,Excessive salivation (disorder),1293
2012,Facial laceration,9711
2012,Fracture of ankle,9097
2012,Fracture of clavicle,25234
2012,Fracture of forearm,32298
2012,Fracture subluxation of wrist,12798
2012,Injury of anterior cruciate ligament,28539
2012,Injury of medial collateral ligament of knee,16129
2012,Laceration of foot,11948
2012,Laceration of forearm,20503
2012,Laceration of hand,26589
2012,Laceration of thigh,29947
2012,Malignant neoplasm of breast (disorder),95197
2012,Malignant tumor of colon,49073
2012,N/A,2542058
2012,Neoplasm of prostate,5733
2012,Non-small cell carcinoma of lung  TNM stage 1 (disorder),436769
2012,Normal pregnancy,2169275
2012,Polyp of colon,9558
2012,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),174512
2012,Pulmonary emphysema (disorder),103109
2012,Recurrent rectal polyp,15151
2012,Streptococcal sore throat (disorder),20189
2012,Stroke,112745
2013,Acute bronchitis (disorder),84852
2013,Acute viral pharyngitis (disorder),7756
2013,Atrial Fibrillation,3957028
2013,Bullet wound,431
2013,Cardiac Arrest,45373
2013,Chronic congestive heart failure (disorder),12614
2013,Chronic obstructive bronchitis (disorder),111577
2013,Closed fracture of hip,8937
2013,Excessive salivation (disorder),1293
2013,Facial laceration,32378
2013,Fracture of ankle,51343
2013,Fracture of clavicle,28445
2013,Fracture of forearm,44512
2013,Fracture of rib,431
2013,Fracture subluxation of wrist,34637
2013,Injury of anterior cruciate ligament,21777
2013,Laceration of foot,11012
2013,Laceration of forearm,27621
2013,Laceration of hand,18524
2013,Laceration of thigh,23505
2013,Malignant neoplasm of breast (disorder),149477
2013,Malignant tumor of colon,96827
2013,N/A,3013336
2013,Non-small cell carcinoma of lung  TNM stage 1 (disorder),415007
2013,Normal pregnancy,2190000
2013,Polyp of colon,66896
2013,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),160215
2013,Pulmonary emphysema (disorder),103322
2013,Recurrent rectal polyp,11877
2013,Sepsis (disorder),862
2013,Streptococcal sore throat (disorder),8327
2013,Stroke,58475
2013,Suspected lung cancer (situation),60834
2014,Acute bronchitis (disorder),31387
2014,Acute viral pharyngitis (disorder),17302
2014,Atrial Fibrillation,3318242
2014,Bullet wound,431
